role_id,title,description,requirements,salary_min,salary_max,status,recruiter_id,created_at
1,Incident Response Analyst,Cybersecurity position: Incident Response Analyst,"{""skills"": [""Incident Response"", ""Digital evidence collection"", ""forensic processing"", ""malware analysis"", ""network traffic analysis"", ""log analysis"", ""vulnerability triage"", ""threat containment"", ""alert triage"", ""IOC detection""], ""certifications"": [""CompTIA Security+"", ""EC-Council Certified Incident Handler (ECIH)"", ""GIAC Certified Incident Handler (GCIH)"", ""CompTIA CySA+"", ""GIAC Forensic Analyst (GCFA)""], ""education"": ""Bachelor's degree in Cybersecurity, Computer Science, Information Security"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-10-03T21:20:19.082072
2,Threat Analysis Analyst,Cybersecurity position: Threat Analysis Analyst,"{""skills"": [""Threat analysis"", ""Threat hunting"", ""Network threat identification"", ""Data querying"", ""Metadata analysis"", ""Virtual machine operations"", ""Security reporting"", ""Threat intelligence"", ""Data collection""], ""certifications"": [""CompTIA Security+"", ""EC-Council Certified Threat Intelligence Analyst (CTIA)"", ""GIAC Cyber Threat Intelligence (GCTI)"", ""CompTIA CySA+""], ""education"": ""Bachelor's degree in Cybersecurity, Information Technology, Computer Science"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-20T21:20:19.082113
3,Defensive Cybersecurity Analyst,Cybersecurity position: Defensive Cybersecurity Analyst,"{""skills"": [""Network defense"", ""Threat detection"", ""Traffic analysis"", ""Log analysis"", ""Vulnerability identification"", ""Security monitoring"", ""Anomaly detection"", ""Security tool evaluation""], ""certifications"": [""CompTIA Security+"", ""CompTIA CySA+"", ""EC-Council Certified SOC Analyst (CSA)"", ""GIAC Certified Defense Analyst (GCDA)""], ""education"": ""Bachelor's degree in Cybersecurity, Information Technology, Computer Science"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-09T21:20:19.082126
4,Digital Forensics Investigator,Cybersecurity position: Digital Forensics Investigator,"{""skills"": [""Digital Evidence Handling"", ""Evidence Collection"", ""Evidence Processing"", ""Memory Forensics"", ""File System Forensics"", ""Log Analysis"", ""Forensic Analysis"", ""Technical Reporting""], ""certifications"": [""GIAC Certified Forensic Analyst (GCFA)"", ""GIAC Certified Forensic Examiner (GCFE)"", ""Certified Forensic Computer Examiner (CFCE)"", ""CompTIA CySA+"", ""EnCase Certified Examiner (EnCE)""], ""education"": ""Bachelor's degree in Cybersecurity, Digital Forensics, IT, Computer Science"", ""experience"": {""min"": 3, ""max"": 7}}",80000,150000,active,1,2025-10-22T21:20:19.082132
5,Insider Threat Analyst,Cybersecurity position: Insider Threat Analyst,"{""skills"": [""threat analysis"", ""behavioral analysis"", ""data analysis"", ""log analysis"", ""pattern detection"", ""report writing"", ""insider threat investigation""], ""certifications"": [""CompTIA Security+"", ""EC-Council Certified Threat Intelligence Analyst (CTIA)"", ""GIAC Cyber Threat Intelligence (GCTI)"", ""CompTIA CySA+""], ""education"": ""Bachelor's in Cybersecurity, Computer Science, Information Systems, Psychology"", ""experience"": {""min"": 1, ""max"": 4}}",80000,150000,active,1,2025-10-24T21:20:19.082138
6,Vulnerability Analyst,Cybersecurity position: Vulnerability Analyst,"{""skills"": [""vulnerability scanning"", ""risk assessment"", ""network analysis"", ""application security"", ""threat identification"", ""security auditing"", ""policy compliance""], ""certifications"": [""CompTIA Security+"", ""CompTIA CySA+"", ""EC-Council CEH (Certified Ethical Hacker)"", ""CompTIA PenTest+""], ""education"": ""Bachelor's degree in Cybersecurity, Computer Science, Information Technology"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-09-24T21:20:19.082144
7,Cybersecurity Policy & Planning Analyst,Cybersecurity position: Cybersecurity Policy & Planning Analyst,"{""skills"": [""cybersecurity policy"", ""governance"", ""risk management"", ""compliance"", ""strategic planning"", ""policy development"", ""regulatory alignment""], ""certifications"": [""ISACA CISM"", ""ISC2 CGRC"", ""ISO 27001 Lead Implementer or Lead Auditor"", ""IAPP CIPM"", ""Associate of ISC2""], ""education"": ""Bachelor's degree in Information Security, IT Management, Business Administration"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-10-14T21:20:19.082149
8,Privacy Governance Analyst,Cybersecurity position: Privacy Governance Analyst,"{""skills"": [""privacy compliance"", ""privacy impact assessment"", ""data governance"", ""regulatory compliance"", ""privacy policies"", ""PII protection"", ""privacy risk assessment""], ""certifications"": [""IAPP CIPM (Certified Information Privacy Manager)"", ""IAPP CIPP/US or CIPP/E"", ""ISO 27701 Lead Implementer"", ""CompTIA Security+""], ""education"": ""Bachelor's degree in Information Security, Privacy Management, Law"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-10-21T21:20:19.082154
9,Junior Security Control Assessor,Cybersecurity position: Junior Security Control Assessor,"{""skills"": [""security controls"", ""RMF"", ""control assessment"", ""risk analysis"", ""evidence collection"", ""security authorization"", ""compliance review""], ""certifications"": [""CompTIA Security+"", ""ISC2 Associate"", ""ISO 27001 Foundation"", ""CompTIA CySA+""], ""education"": ""Associate's or Bachelor's degree in Cybersecurity, Information Systems"", ""experience"": {""min"": 0, ""max"": 2}}",80000,150000,active,1,2025-09-30T21:20:19.082159
10,Cybersecurity Architect,Cybersecurity position: Cybersecurity Architect,"{""skills"": [""security architecture"", ""secure design"", ""risk management"", ""defense in depth"", ""network segmentation"", ""system security engineering"", ""architecture analysis""], ""certifications"": [""ISC2 CISSP"", ""ISACA CISM"", ""Cisco CCNP Security or CCSP"", ""AWS Solutions Architect \u2013 Security Specialty"", ""SABSA Foundation""], ""education"": ""Bachelor's degree in Cybersecurity, Computer Science, Information Technology"", ""experience"": {""min"": 3, ""max"": 6}}",80000,150000,active,1,2025-10-06T21:20:19.082165
