analysis_id,application_id,ai_score,skills_matched,skill_gaps,experience_years,experience_level,education,certifications,reasoning,analysis_completed_at
10519,10592,75.3,"[""Digital evidence collection"", ""forensic processing"", ""IOC detection"", ""Incident Response"", ""network traffic analysis"", ""alert triage"", ""vulnerability triage""]","[""malware analysis"", ""log analysis"", ""threat containment""]",3,mid,Bachelor's degree in Information Technology,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10520,10593,82.6,"[""vulnerability triage"", ""network traffic analysis"", ""log analysis"", ""alert triage"", ""Incident Response"", ""threat containment"", ""forensic processing"", ""Digital evidence collection""]","[""malware analysis"", ""IOC detection""]",4,mid,Master's degree in Information Security,"[""CompTIA Security+"", ""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10521,10594,68,"[""alert triage"", ""malware analysis"", ""Incident Response"", ""log analysis"", ""network traffic analysis"", ""vulnerability triage""]","[""Digital evidence collection"", ""forensic processing"", ""threat containment"", ""IOC detection""]",2,entry,Bachelor's degree in Computer Science,[],,2025-11-24 03:20:19
10522,10595,70.8,"[""alert triage"", ""forensic processing"", ""vulnerability triage"", ""malware analysis"", ""network traffic analysis"", ""IOC detection""]","[""Incident Response"", ""Digital evidence collection"", ""log analysis"", ""threat containment""]",4,mid,Bachelor's degree in Information Technology,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10523,10596,75.3,"[""vulnerability triage"", ""malware analysis"", ""Incident Response"", ""alert triage"", ""Digital evidence collection"", ""log analysis"", ""forensic processing""]","[""network traffic analysis"", ""threat containment"", ""IOC detection""]",3,mid,Bachelor's degree in Information Technology,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10524,10597,70.8,"[""IOC detection"", ""threat containment"", ""forensic processing"", ""network traffic analysis"", ""malware analysis"", ""vulnerability triage""]","[""Incident Response"", ""Digital evidence collection"", ""log analysis"", ""alert triage""]",2,entry,Associate's degree in Cybersecurity,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10525,10598,70.8,"[""log analysis"", ""malware analysis"", ""Digital evidence collection"", ""forensic processing"", ""Incident Response"", ""vulnerability triage""]","[""network traffic analysis"", ""threat containment"", ""alert triage"", ""IOC detection""]",3,mid,Associate's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10526,10599,82.6,"[""Incident Response"", ""alert triage"", ""network traffic analysis"", ""vulnerability triage"", ""Digital evidence collection"", ""forensic processing"", ""log analysis"", ""malware analysis""]","[""threat containment"", ""IOC detection""]",2,entry,Associate's degree in Cybersecurity,"[""CompTIA Security+"", ""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10527,10600,70.8,"[""Digital evidence collection"", ""IOC detection"", ""vulnerability triage"", ""network traffic analysis"", ""Incident Response"", ""forensic processing""]","[""malware analysis"", ""log analysis"", ""threat containment"", ""alert triage""]",3,mid,Bachelor's degree in Computer Science,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10528,10601,70.8,"[""malware analysis"", ""log analysis"", ""alert triage"", ""vulnerability triage"", ""network traffic analysis"", ""threat containment""]","[""Incident Response"", ""Digital evidence collection"", ""forensic processing"", ""IOC detection""]",2,entry,Master's degree in Information Security,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10529,10602,68,"[""Incident Response"", ""log analysis"", ""alert triage"", ""forensic processing"", ""network traffic analysis"", ""IOC detection""]","[""Digital evidence collection"", ""malware analysis"", ""vulnerability triage"", ""threat containment""]",4,mid,Bachelor's degree in Computer Science,[],,2025-11-24 03:20:19
10530,10603,75.3,"[""vulnerability triage"", ""forensic processing"", ""network traffic analysis"", ""Digital evidence collection"", ""Incident Response"", ""alert triage"", ""malware analysis""]","[""log analysis"", ""threat containment"", ""IOC detection""]",3,mid,Associate's degree in Cybersecurity,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10531,10604,59,"[""alert triage"", ""Incident Response"", ""IOC detection"", ""threat containment""]","[""Digital evidence collection"", ""forensic processing"", ""malware analysis"", ""network traffic analysis"", ""log analysis"", ""vulnerability triage""]",3,mid,Master's degree in Cybersecurity,[],,2025-11-24 03:20:19
10532,10605,59,"[""Digital evidence collection"", ""threat containment"", ""forensic processing"", ""log analysis""]","[""Incident Response"", ""malware analysis"", ""network traffic analysis"", ""vulnerability triage"", ""alert triage"", ""IOC detection""]",4,mid,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10533,10606,82.6,"[""Incident Response"", ""malware analysis"", ""threat containment"", ""vulnerability triage"", ""log analysis"", ""IOC detection"", ""alert triage"", ""network traffic analysis""]","[""Digital evidence collection"", ""forensic processing""]",2,entry,Bachelor's degree in Information Technology,"[""EC-Council Certified Incident Handler (ECIH)"", ""CompTIA Security+""]",,2025-11-24 03:20:19
10534,10607,68,"[""log analysis"", ""vulnerability triage"", ""Incident Response"", ""network traffic analysis"", ""malware analysis"", ""Digital evidence collection""]","[""forensic processing"", ""threat containment"", ""alert triage"", ""IOC detection""]",2,entry,Master's degree in Information Security,[],,2025-11-24 03:20:19
10535,10608,82.6,"[""Digital evidence collection"", ""network traffic analysis"", ""Incident Response"", ""log analysis"", ""alert triage"", ""vulnerability triage"", ""malware analysis"", ""threat containment""]","[""forensic processing"", ""IOC detection""]",3,mid,Bachelor's degree in Cybersecurity,"[""CompTIA Security+"", ""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10536,10609,75.3,"[""threat containment"", ""vulnerability triage"", ""alert triage"", ""log analysis"", ""network traffic analysis"", ""Digital evidence collection"", ""Incident Response""]","[""forensic processing"", ""malware analysis"", ""IOC detection""]",5,mid,Bachelor's degree in Information Technology,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10537,10610,82.6,"[""malware analysis"", ""forensic processing"", ""log analysis"", ""Incident Response"", ""alert triage"", ""network traffic analysis"", ""threat containment"", ""Digital evidence collection""]","[""vulnerability triage"", ""IOC detection""]",4,mid,Bachelor's degree in Cybersecurity,"[""CompTIA Security+"", ""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
