id,title,overview,mainResponsibilities,tasks,knowledge,skills,skillKeywords,education,preferredExperience,certifications,experienceMin,experienceMax,weight_skills,weight_knowledge,weight_tasks,weight_certifications,weight_education,thresholdScore,testCategory
1,Incident Response Analyst,"The Incident Response Analyst identifies, investigates, and responds to cybersecurity incidents across the organization. This role performs hands-on analysis of alerts, collects and processes digital evidence, coordinates containment actions, and documents findings for technical and executive audiences. The analyst works closely with SOC, engineering, and forensics teams to ensure threats are rapidly identified and mitigated.","Monitor and triage security alerts from SIEM, EDR, IDS/IPS, and threat intelligence sources using incident response methodologies such as NIST 800-61 | Investigate suspicious activity by analyzing logs, network packets, endpoint telemetry, and forensic artifacts to identify indicators of compromise | Recognize and classify vulnerabilities based on severity and impact, understanding the cyber attack lifecycle and adversary tradecraft | Collect, preserve, and process digital evidence in a forensically sound manner following chain-of-custody requirements | Perform static and dynamic malware analysis to determine behavior patterns, indicators, and potential business impact | Analyze network traffic and log sources from endpoints, servers, and cloud environments to trace attacker activity | Contain active threats by isolating endpoints, blocking malicious indicators, and executing emergency mitigations to protect systems | Develop incident timelines, root-cause analysis reports, and lessons-learned summaries using analytical and investigative methods | Collaborate with SOC, IT, engineering, and threat intelligence teams throughout the incident lifecycle | Update and refine IR playbooks, detection rules, and escalation procedures based on new learnings and emerging threats","Monitor and triage alerts from SIEM, EDR, IDS/IPS, and threat intelligence sources. | Investigate suspicious activity using logs, packets, endpoint telemetry, and forensic artifacts. | Contain active threats by isolating endpoints, blocking malicious indicators, and executing emergency mitigations. | Collect, preserve, and process digital evidence following chain-of-custody requirements. | Perform malware analysis to determine behavior, indicators, and potential business impact. | Develop incident timelines, root-cause analysis reports, and lessons-learned summaries. | Collaborate with SOC, IT, engineering, and threat intelligence teams throughout incident lifecycle. | Update and refine IR playbooks, detection rules, and escalation procedures based on new learnings.","Incident response methodologies such as NIST 800-61. | Cyber attack lifecycle, intrusion phases, and adversary tradecraft. | Malware types, behavior patterns, and analysis techniques. | Network security concepts, protocols, and intrusion detection fundamentals. | Log sources and forensic artifacts from endpoints, servers, and cloud environments.","Ability to recognize and classify vulnerabilities based on severity and impact. | Ability to collect and preserve digital evidence in a forensically sound manner. | Ability to process, analyze, and organize digital evidence for investigation. | Ability to categorize, prioritize, and validate detected vulnerabilities. | Ability to detect and protect systems against malware activity. | Ability to perform static and dynamic malware analysis. | Ability to analyze network traffic to identify suspicious and anomalous behavior. | Ability to interpret security data using analytical and investigative methods. | Ability to perform detailed log file analysis to trace attacker activity.",Incident Response | Digital evidence collection | forensic processing | malware analysis | network traffic analysis | log analysis | vulnerability triage | threat containment | alert triage | IOC detection,"Bachelor’s degree in Cybersecurity, Computer Science, Information Security, or equivalent practical experience.","2–5 years of experience in incident response, SOC operations, or digital forensics. | Experience with SIEM platforms, EDR tools, packet capture, memory analysis, and sandboxing environments.",CompTIA Security+ | EC-Council Certified Incident Handler (ECIH) | GIAC Certified Incident Handler (GCIH) | CompTIA CySA+ | GIAC Forensic Analyst (GCFA),2,5,0.35,0.25,0.20,0.10,0.10,60,incident_response
2,Threat Analysis Analyst,"The Threat Analysis Analyst identifies, evaluates, and interprets cyber threats targeting the organization. This role focuses on analyzing threat actor behavior, investigating suspicious activity, and converting raw security data into actionable intelligence that informs security operations and enhances defensive capabilities.","Collect and analyze threat data from internal and external intelligence sources to identify emerging cyber threats and threat actor tactics, techniques, and procedures (TTPs) | Investigate suspicious activities by querying and correlating large volumes of security data across multiple platforms and data sources | Develop and maintain virtualized environments to safely analyze suspicious artifacts, malware samples, and potential indicators of compromise | Perform metadata and log analysis to uncover network threats, intrusion behaviors, and anomalous patterns that may indicate malicious activity | Identify and evaluate network-based threats using threat intelligence platforms and structured intelligence formats | Conduct investigative analysis to recognize C2 patterns, malware indicators, and threat hunting fundamentals | Produce detailed and concise threat intelligence reports and summaries that communicate findings across the security team | Support proactive threat hunting activities across enterprise environments using analytical and pattern-recognition capabilities | Prepare threat intelligence briefings and communicate actionable insights to stakeholders and security operations teams",Collect and analyze threat data from internal and external intelligence sources. | Investigate suspicious activities and identify emerging cyber threats. | Develop and maintain virtualized environments to safely analyze suspicious artifacts. | Perform metadata and log analysis to uncover indicators of compromise. | Produce threat intelligence reports and communicate findings across the security team. | Support proactive threat hunting activities across enterprise environments.,"Threat actor tactics, techniques, and procedures (TTPs). | Cyber threat intelligence platforms and structured intelligence formats. | Network threats, intrusion behaviors, and security monitoring concepts. | Malware indicators, C2 patterns, and threat hunting fundamentals. | Data analysis, metadata inspection, and security-focused querying methodologies.","Ability to identify and evaluate network-based threats. | Ability to analyze suspicious artifacts using virtual environments. | Ability to query, analyze, and correlate large volumes of security data. | Ability to prepare detailed and concise threat intelligence summaries. | Ability to perform investigative metadata analysis. | Strong analytical and pattern-recognition capabilities.",Threat analysis | Threat hunting | Network threat identification | Data querying | Metadata analysis | Virtual machine operations | Security reporting | Threat intelligence | Data collection,"Bachelor’s degree in Cybersecurity, Information Technology, Computer Science, or equivalent experience.","1–3 years in threat intelligence, SOC operations, or cyber investigations. | Experience with SIEM platforms, CTI tools, and malware analysis workflows.",CompTIA Security+ | EC-Council Certified Threat Intelligence Analyst (CTIA) | GIAC Cyber Threat Intelligence (GCTI) | CompTIA CySA+,1,3,,,,,,,
3,Defensive Cybersecurity Analyst,The Defensive Cybersecurity Analyst strengthens and maintains the organization,"Monitor security tools, dashboards, and alert systems to detect suspicious activity using SIEM, IDS/IPS, and traffic analysis tools | Analyze network traffic, protocols, and logs to identify intrusion attempts, anomalies, and network-based threats | Identify, categorize, and prioritize system vulnerabilities in applications and configurations using scanning methodologies and system hardening practices | Evaluate the effectiveness of defensive security tools including firewalls, EDR, and intrusion detection solutions | Investigate network threats by correlating indicators across multiple data sources including security logs, network flow records, and event data | Perform traffic and protocol analysis for anomaly detection using network security fundamentals and common attack vector knowledge | Interpret and investigate logs from multiple sources to detect malicious activity and support incident response teams during containment | Support remediation activities by applying defensive techniques and recommending security improvements | Maintain awareness of threat detection methods, vulnerability types, and defensive security best practices","Monitor security tools, dashboards, and alert systems to detect suspicious activity. | Analyze network traffic and logs to identify intrusion attempts or anomalies. | Identify and categorize vulnerabilities in systems, applications, and configurations. | Evaluate security tools, platforms, and defense technologies for effectiveness. | Investigate network threats and correlate indicators across multiple data sources. | Support incident response teams during containment and remediation activities.","Network security fundamentals, common attack vectors, and defensive techniques. | Threat detection methods using SIEM, IDS/IPS, and traffic analysis tools. | Vulnerability types, scanning methodologies, and system hardening practices. | Security logs, network flow records, and event correlation concepts. | Defensive security tools including firewalls, EDR, and intrusion detection solutions.",Ability to detect and analyze network-based threats. | Ability to evaluate the effectiveness of defensive security tools. | Ability to categorize and prioritize system vulnerabilities. | Ability to perform traffic and protocol analysis for anomaly detection. | Ability to interpret and investigate logs from multiple sources. | Strong analytical and troubleshooting ability in security environments.,Network defense | Threat detection | Traffic analysis | Log analysis | Vulnerability identification | Security monitoring | Anomaly detection | Security tool evaluation,"Bachelor’s degree in Cybersecurity, Information Technology, Computer Science, or equivalent experience.","1–3 years working in SOC operations, defensive cybersecurity, or security monitoring. | Experience using SIEM platforms, IDS/IPS, threat detection tools, and vulnerability scanners.",CompTIA Security+ | CompTIA CySA+ | EC-Council Certified SOC Analyst (CSA) | GIAC Certified Defense Analyst (GCDA),1,3,,,,,,,
4,Digital Forensics Investigator,"The Digital Forensics Investigator examines compromised systems, collects and preserves digital evidence, and performs in-depth forensic analysis to support incident response, legal proceedings, and organizational investigations. This role focuses on identifying malicious activity, reconstructing events, and ensuring evidence integrity throughout the investigative lifecycle.","Collect digital evidence from endpoints, servers, and cloud environments following chain-of-custody requirements and evidence-handling best practices | Preserve and process digital artifacts using validated forensic tools and methodologies while maintaining forensic soundness | Perform memory forensics, disk imaging, and file system analysis to uncover malicious activity and attacker tradecraft | Analyze logs, metadata, registry data, and system traces to reconstruct timelines and identify indicators of compromise | Conduct forensic analysis of memory structures, file systems, and log sources to interpret malware behavior and intrusion techniques | Apply digital forensic methodologies and legal requirements to ensure evidence admissibility in investigations and legal proceedings | Document investigations thoroughly and create detailed technical forensic reports for incident response teams and legal authorities | Maintain forensic toolkits, methodologies, and documentation to ensure investigation quality, repeatability, and compliance | Collaborate with SOC teams, law enforcement, and legal counsel to support cybercrime investigations and incident response activities","Collect digital evidence from endpoints, servers, and cloud environments following chain-of-custody requirements. | Preserve and process digital artifacts using validated forensic tools and methodologies. | Perform memory forensics, disk imaging, and file system analysis to uncover malicious activity. | Analyze logs, metadata, and system traces to reconstruct timelines and identify attacker behavior. | Prepare detailed forensic reports and communicate findings to incident response teams and legal authorities. | Maintain forensic toolkits, methodologies, and documentation to ensure investigation quality and repeatability.","Digital forensic methodologies, chain-of-custody procedures, and evidence-handling best practices. | Memory forensics techniques, disk imaging processes, and file system structures. | Log correlation techniques, registry analysis, and metadata interpretation. | Malware behavior, intrusion techniques, and attacker tradecraft. | Legal and regulatory requirements related to forensic investigations and evidence admissibility.","Ability to collect digital evidence safely and accurately during an investigation. | Ability to preserve and process evidence while maintaining forensic soundness. | Ability to perform memory, file system, and log analysis to uncover malicious activity. | Ability to interpret forensic data, reconstruct events, and identify indicators of compromise. | Ability to document investigations and create detailed technical forensic reports. | Strong analytical and problem-solving skills when working with complex data sets.",Digital Evidence Handling | Evidence Collection | Evidence Processing | Memory Forensics | File System Forensics | Log Analysis | Forensic Analysis | Technical Reporting,"Bachelor’s degree in Cybersecurity, Digital Forensics, IT, Computer Science, or a related discipline.","3–7 years of experience in digital forensics, incident response, or cybercrime investigation. | Hands-on experience with forensic tools such as EnCase, FTK, Volatility, Autopsy, X-Ways, or KAPE. | Experience working with SOC teams, law enforcement, or legal counsel on investigations.",GIAC Certified Forensic Analyst (GCFA) | GIAC Certified Forensic Examiner (GCFE) | Certified Forensic Computer Examiner (CFCE) | CompTIA Cybersecurity Analyst (CySA+) | EnCase Certified Examiner (EnCE),3,7,,,,,,,
5,Insider Threat Analyst,"The Insider Threat Analyst identifies, investigates, and assesses potential internal risks within the organization by analyzing user behavior, system logs, anomalous activity patterns, and data movement. This role collaborates closely with security teams, HR, and management to prevent misuse, data exfiltration, and insider-driven security breaches.","Analyze user activity, system logs, and behavioral patterns using user behavior analytics (UBA) and insider threat detection methods to detect suspicious or high-risk actions | Investigate potential insider threat cases by correlating technical indicators from authentication logs, access logs, email logs, and endpoint activity with contextual information | Develop analytical models, algorithms, and dashboards to identify insider threat patterns, anomalies, and suspicious trends in large datasets | Query and analyze data sources to detect risk indicators related to data misuse, privilege abuse, or policy violations | Perform threat analysis and behavioral analysis to identify patterns of data exfiltration or unauthorized access | Collaborate with HR, security teams, IT, and leadership to validate findings, escalate critical cases, and support stakeholder communication | Prepare detailed reports and briefings to communicate analysis results, investigation findings, and recommendations to stakeholders | Maintain documentation of incident investigations, escalation processes, and mitigation recommendations | Present findings to audiences across the organization and support cross-functional collaboration on insider threat prevention","Analyze user activity, system logs, and behavioral patterns to detect suspicious or high-risk actions. | Investigate potential insider threat cases by correlating technical indicators and contextual information. | Develop analytical models and dashboards to identify insider threat patterns. | Collaborate with HR, security teams, and leadership to validate findings and escalate critical cases. | Prepare detailed reports and briefings to communicate analysis results to stakeholders. | Maintain documentation of incident investigations and provide recommendations for mitigation.","User behavior analytics (UBA) and insider threat detection methods. | Data correlation, anomaly detection, and behavioral pattern identification. | Log sources such as authentication logs, access logs, email logs, and endpoint activity. | Risk indicators related to data misuse, privilege abuse, or policy violation. | Stakeholder communication and escalation processes.","Strong ability to perform insider threat and behavioral analysis. | Ability to analyze large datasets and identify anomalies or suspicious trends. | Effective written and verbal communication for preparing reports and briefings. | Ability to collaborate with cross-functional teams including HR, IT, and security. | Strong proficiency in querying data sources and interpreting results.",threat analysis | behavioral analysis | data analysis | log analysis | pattern detection | report writing | insider threat investigation,"Bachelor’s in Cybersecurity, Computer Science, Information Systems, Psychology, or a related field.","1–4 years of experience in threat analysis, SOC operations, or security monitoring. | Experience with UEBA tools, SIEM platforms, data analysis tools, and case management systems.",CompTIA Security+ | EC-Council Certified Threat Intelligence Analyst (CTIA) | GIAC Cyber Threat Intelligence (GCTI) | CompTIA CySA+,1,4,0.40,0.30,0.20,0.05,0.05,60,insider_threat
6,Vulnerability Analyst,"The Vulnerability Analyst identifies weaknesses across enterprise systems, applications, and networks by conducting structured assessments, reviewing system configurations, analyzing risk impact, and validating compliance with cybersecurity policies. This role plays a key part in reducing organizational exposure by prioritizing remediation efforts and ensuring continuous alignment with best-practice security standards.","Evaluate systems, networks, and applications to identify vulnerabilities, security control gaps, and configuration weaknesses using vulnerability scanning and assessment tools | Assess organizational cybersecurity posture for compliance with internal policies, regulatory requirements, and industry standards such as NIST, ISO 27001, or CIS Benchmarks | Analyze network traffic, logs, and indicators of compromise to identify anomalous activity and potential exploitation attempts | Perform risk and vulnerability assessments by documenting severity, likelihood, and operational impact of identified weaknesses | Identify and validate software, network, and application vulnerabilities using penetration testing principles and vulnerability validation techniques | Prepare audit and assessment reports summarizing findings, risk levels, and recommended remediation actions for stakeholders | Maintain and deploy vulnerability assessment and cyber defense audit toolkits across enterprise environments | Correlate data from scans, logs, and incident reports to identify systemic weaknesses and defense-in-depth gaps | Recommend remediation and mitigation strategies to reduce exposure, applying knowledge of cybersecurity threats, exploits, and adversarial tactics | Translate technical findings into clear, actionable remediation steps for system owners, IT teams, and management","Evaluate systems, networks, and applications to identify vulnerabilities and security control gaps. | Assess organizational cybersecurity posture for compliance with internal policies, regulatory requirements, and industry standards. | Analyze network traffic, logs, and indicators of compromise to identify anomalous activity. | Perform risk and vulnerability assessments and document severity, likelihood, and operational impact. | Prepare audit and assessment reports summarizing findings, risk levels, and recommended remediation actions. | Maintain and deploy vulnerability assessment and cyber defense audit toolkits. | Correlate data from scans, logs, and incident reports to identify systemic weaknesses. | Recommend remediation and mitigation strategies to reduce exposure across environments.","Networking protocols, network architectures, and common enterprise IT environments. | Cybersecurity policies, procedures, regulatory requirements, and compliance frameworks. | Cybersecurity threats, vulnerabilities, exploits, and adversarial tactics. | Application security fundamentals and common application vulnerabilities. | Defense-in-depth principles, enterprise architecture concepts, and security best practices. | Penetration testing principles, tools, and vulnerability validation techniques. | Cyber defense auditing processes, laws, and policy requirements.","Ability to identify and validate software, network, and application vulnerabilities. | Proficiency in vulnerability scanning and configuration assessment tools. | Skill in analyzing network data, logs, and indicators of anomalous activity. | Ability to assess application vulnerabilities and interpret their technical impact. | Ability to translate technical findings into clear, actionable remediation steps for stakeholders.",vulnerability scanning | risk assessment | network analysis | application security | threat identification | security auditing | policy compliance,"Bachelor’s degree in Cybersecurity, Computer Science, Information Technology, Information Systems, or a related field.","2–5 years of experience in vulnerability management, security auditing, or security operations. | Hands-on experience with tools such as Nessus, Qualys, Burp Suite, OpenVAS, or similar. | Experience working with compliance frameworks such as NIST, ISO 27001, or CIS Benchmarks.",CompTIA Security+ | CompTIA CySA+ | EC-Council CEH (Certified Ethical Hacker) | CompTIA PenTest+,2,5,0.40,0.30,0.20,0.05,0.05,60,vulnerability_analysis
7,Cybersecurity Policy & Planning Analyst,"The Cybersecurity Policy & Planning Analyst develops, maintains, and aligns cybersecurity policies, strategies, and governance frameworks to ensure organizational compliance and effective risk management. This role partners with leadership, legal, risk, and technical teams to translate cybersecurity requirements into actionable policies and strategic plans that strengthen the organization’s overall security posture.","Develop and maintain cybersecurity policies, procedures, and governance frameworks aligned with organizational goals and risk management frameworks such as NIST RMF or ISO 27005 | Evaluate cybersecurity requirements, regulatory obligations, and industry standards to ensure compliance with cybersecurity laws, regulations, and compliance frameworks | Advise leadership and stakeholders on cybersecurity policy implications, strategic direction, and governance processes | Conduct audits and assessments to verify the effectiveness of cybersecurity policies, controls, and organizational policy structures | Research emerging technologies, threats, privacy laws, and regulatory changes to update policy guidance and strategic plans | Identify partner or stakeholder capabilities to support policy implementation and detect exploitation activities that may impact policy decisions | Establish and maintain communication channels with internal and external stakeholders for policy coordination and collaboration across business units | Promote cybersecurity awareness and policy understanding across management and staff through training and communication initiatives | Apply knowledge of enterprise IT architecture, network security fundamentals, and cyber defense tools to align controls with policies | Integrate organizational objectives with cybersecurity principles, threats, vulnerabilities, and enterprise security practices","Develop and maintain cybersecurity policies, procedures, and governance frameworks aligned with organizational goals. | Evaluate cybersecurity requirements, regulatory obligations, and industry standards to ensure compliance. | Advise leadership and stakeholders on cybersecurity policy implications and strategic direction. | Conduct audits and assessments to verify the effectiveness of cybersecurity policies and controls. | Research emerging technologies, threats, and regulatory changes to update policy guidance. | Establish and maintain communication channels with internal and external stakeholders for policy coordination. | Promote cybersecurity awareness and policy understanding across management and staff.","Cybersecurity laws, regulations, and compliance frameworks. | Cybersecurity policies, governance processes, and organizational policy structures. | Risk management frameworks such as NIST RMF, ISO 27005, or similar. | Cybersecurity principles, threats, vulnerabilities, and enterprise security practices. | Privacy laws, data protection principles, and information governance models. | Enterprise IT architecture concepts, network security fundamentals, and controls alignment. | Cyber defense tools, assessment techniques, and vulnerability management concepts.","Skill in developing cybersecurity policies, strategic plans, and governance documentation. | Ability to assess organizational requirements and map them to cybersecurity controls and policies. | Skill in identifying partner or stakeholder capabilities to support policy implementation. | Ability to detect exploitation activities and integrate findings into policy decisions. | Strong collaboration and communication skills for engaging stakeholders across business units.",cybersecurity policy | governance | risk management | compliance | strategic planning | policy development | regulatory alignment,"Bachelor’s degree in Information Security, IT Management, Business Administration, Political Science, Public Administration, or a related field.","2–5 years of experience in cybersecurity governance, policy development, risk management, or compliance. | Experience working with frameworks such as NIST CSF, NIST RMF, ISO 27001, or COBIT. | Experience collaborating with cross-functional teams in security, legal, audit, and risk domains.",ISACA CISM | ISC2 CGRC (formerly CAP) | ISO 27001 Lead Implementer or Lead Auditor | IAPP CIPM (for privacy governance alignment) | Associate of ISC2 (towards CISSP),2,5,0.40,0.30,0.20,0.05,0.05,60,policy_and_governance
8,Privacy Governance Analyst,"The Privacy Governance Analyst supports the development, implementation, and oversight of the organization’s privacy compliance program. The role ensures policies, processes, and data governance practices align with privacy laws, regulatory requirements, and organizational objectives. This position bridges legal, security, and operational teams to reduce privacy risks, strengthen PII management, and maintain a culture of privacy awareness across the enterprise.","Develop and maintain privacy policies, procedures, and governance documentation aligned with regulatory requirements such as GDPR, CCPA, and HIPAA | Conduct Privacy Impact Assessments (PIAs) and evaluate systems, processes, and services for privacy compliance and PII protection | Monitor organizational compliance with privacy laws, internal policies, and industry standards using privacy principles and data lifecycle management concepts | Identify privacy compliance gaps and recommend corrective actions to strengthen data protection practices and information governance | Assist in vendor privacy reviews and ensure third parties meet contractual privacy and data security obligations | Collaborate with security, legal, and IT teams to align privacy requirements with cybersecurity and organizational objectives | Prepare privacy awareness materials and support delivery of privacy training to staff using instructional materials and presentation skills | Evaluate regulatory, policy, and industry changes and update privacy guidance accordingly | Apply knowledge of privacy impact assessment methodologies, enterprise privacy governance models, and information privacy technologies | Support privacy audits, data flow reviews, and privacy monitoring activities across the organization","Develop and maintain privacy policies, procedures, and governance documentation aligned with regulatory requirements. | Conduct Privacy Impact Assessments (PIAs) and evaluate systems, processes, and services for privacy compliance. | Monitor organizational compliance with privacy laws, internal policies, and industry standards. | Identify privacy compliance gaps and recommend corrective actions to strengthen data protection practices. | Assist in vendor privacy reviews and ensure third parties meet contractual privacy and data security obligations. | Collaborate with security, legal, and IT teams to align privacy and cybersecurity controls. | Prepare privacy awareness materials and support delivery of privacy training to staff. | Evaluate regulatory, policy, and industry changes and update privacy guidance accordingly.","Privacy laws and regulations such as GDPR, CCPA, HIPAA, and state/federal data protection requirements. | Privacy principles, PII attributes, and data lifecycle management concepts. | Enterprise privacy governance models, policies, and compliance frameworks. | Privacy Impact Assessment (PIA) methodologies and best practices. | Cybersecurity policies, risk management concepts, and security controls that support privacy. | Organizational privacy policies, procedures, and information governance structures. | Information privacy technologies and tools used for data discovery, consent management, and privacy monitoring.","Ability to develop privacy policies, data governance procedures, and standard operating documentation. | Skill in aligning privacy requirements with cybersecurity and organizational objectives. | Ability to identify privacy compliance gaps and recommend mitigation strategies. | Skill in preparing instructional or awareness materials and presenting privacy guidance to stakeholders. | Strong communication and collaboration skills for working across legal, IT, security, and business teams.",privacy compliance | privacy impact assessment | data governance | regulatory compliance | privacy policies | PII protection | privacy risk assessment,"Bachelor’s degree in Information Security, Privacy Management, Law, Public Administration, Business, or a related field.","2–5 years of experience in privacy compliance, data governance, or related risk and regulatory functions. | Experience conducting PIAs, reviewing data flows, and supporting privacy audits. | Experience applying privacy frameworks such as ISO 27701, NIST Privacy Framework, or similar.",IAPP CIPM (Certified Information Privacy Manager) | IAPP CIPP/US or CIPP/E | ISO 27701 Lead Implementer | CompTIA Security+ (for cybersecurity alignment),2,5,0.40,0.30,0.20,0.05,0.05,60,privacy_compliance
9,Junior Security Control Assessor,"The Junior Security Control Assessor supports the evaluation of security controls across enterprise systems and assists with Security Assessment and Authorization (SA&A) activities. Working under the guidance of senior assessors, this role helps collect evidence, review documentation, verify basic control implementations, and track findings to ensure systems comply with organizational security requirements and Risk Management Framework (RMF) standards.","Assist in performing security control assessments for systems undergoing authorization or major updates using Risk Management Framework (RMF) processes | Collect evidence and documentation to support assessment of management, operational, and technical controls | Support the review of system security plans, policies, procedures, and architectural documentation for compliance | Help identify control gaps, deviations, and potential security weaknesses under senior guidance | Perform basic risk analysis of assigned controls and support the development of mitigation recommendations | Document assessment observations, deviations, and preliminary findings in accordance with RMF and Security Assessment and Authorization processes | Assist in verifying that cybersecurity controls are implemented as described in system documentation | Track remediation activities and update assessment records as systems progress through authorization steps | Apply knowledge of fundamental cybersecurity concepts including threats, vulnerabilities, and security controls | Collaborate with senior assessors, system owners, and engineering teams to support control evaluation and evidence validation","Assist in performing security control assessments for systems undergoing authorization or major updates. | Collect evidence and documentation to support assessment of management, operational, and technical controls. | Support the review of system security plans, policies, procedures, and architectural documentation. | Help identify control gaps, deviations, and potential security weaknesses under senior guidance. | Perform basic risk analysis of assigned controls and support the development of mitigation recommendations. | Document assessment observations, deviations, and preliminary findings in accordance with RMF processes. | Assist in verifying that cybersecurity controls are implemented as described in system documentation. | Track remediation activities and update assessment records as systems progress through authorization steps.","Fundamental cybersecurity concepts including threats, vulnerabilities, and security controls. | Basic understanding of the Risk Management Framework (RMF) and Security Assessment and Authorization processes. | Network security principles, networking fundamentals, and common enterprise architectures. | Cybersecurity policies, regulations, and compliance requirements relevant to system authorization. | Confidentiality, Integrity, and Availability (CIA) principles and how they apply to control assessment. | Introductory understanding of vulnerability assessment tools, system documentation, and evidence validation.","Ability to assist in evaluating security control designs and identifying control gaps. | Skill in performing basic risk analysis of systems and proposed mitigations. | Ability to support the development and documentation of security assessment findings. | Skill in reviewing technical and non-technical system documentation for compliance. | Strong communication and teamwork abilities for collaborating with senior assessors, system owners, and engineering teams.",security controls | RMF | control assessment | risk analysis | evidence collection | security authorization | compliance review,"Associate’s or Bachelor’s degree in Cybersecurity, Information Systems, Information Technology, or a related field.","0–2 years of experience in cybersecurity auditing, compliance, system security assessment, or related functions. | Exposure to NIST RMF, ISO 27001, or similar governance and compliance frameworks. | Familiarity with reviewing technical documentation such as SSPs, network diagrams, and configuration reports.",CompTIA Security+ | ISC2 Associate (toward CGRC or CISSP) | ISO 27001 Foundation | CompTIA CySA+ (nice-to-have),0,2,0.40,0.30,0.20,0.05,0.05,60,security_control_assessment
10,Cybersecurity Architect,"The Cybersecurity Architect ensures that security requirements are seamlessly integrated into enterprise architectures, systems, and services. This role designs secure frameworks, evaluates new and existing solutions for architectural weaknesses, and aligns security architecture decisions with organizational mission, business needs, and compliance obligations. The architect collaborates with engineering, operations, and leadership teams to build resilient, scalable, and secure technical environments.","Design secure architectures for enterprise systems, applications, and networks based on business and mission requirements using systems security engineering principles | Integrate organizational goals, risk objectives, and compliance requirements into security architecture decisions | Define baseline security requirements and create system security contexts, models, and concepts of operations (ConOps) | Perform architectural security reviews to identify gaps, inconsistencies, and weaknesses in systems and designs | Evaluate the cybersecurity impact of new technologies, integrations, and system changes using threat analysis and risk assessment | Develop security controls and secure design patterns aligned with defense-in-depth principles and multilayered design concepts | Determine the effectiveness of cybersecurity design decisions and validate alignment with architecture standards and frameworks | Prioritize critical capabilities and security controls required to protect essential business functions | Implement network segmentation, secure network design patterns, and layered defensive architectures | Collaborate with engineering, operations, and leadership teams to translate operational and mission requirements into actionable security architecture components | Apply knowledge of enterprise cybersecurity architecture principles, CIA concepts, and data classification to ensure secure system development","Design secure architectures for enterprise systems, applications, and networks based on business and mission requirements. | Integrate organizational goals, risk objectives, and compliance requirements into security architecture decisions. | Define baseline security requirements and create system security contexts and models. | Perform architectural security reviews to identify gaps, inconsistencies, and weaknesses in systems and designs. | Evaluate the cybersecurity impact of new technologies, integrations, and system changes. | Develop system security concepts of operations (ConOps) and architectural documentation. | Determine the effectiveness of cybersecurity design decisions and validate alignment with architecture standards. | Prioritize critical capabilities and security controls required to protect essential business functions. | Collaborate with engineering and operations to implement network segmentation, secure design patterns, and defense-in-depth strategies.","Enterprise cybersecurity architecture principles, reference models, and multilayered design concepts. | Systems security engineering (SSE) principles and secure system development practices. | Confidentiality, Integrity, and Availability (CIA) concepts and non-repudiation principles. | Cybersecurity threats, vulnerabilities, exploitation techniques, and adversarial characteristics. | Network architecture, secure network design patterns, and segmentation strategies. | Enterprise IT architecture frameworks, system engineering processes, and integration practices. | Cyber defense tools, controls, and defense-in-depth principles. | Risk management processes including identification, analysis, and prioritization of architectural risks. | Data classification concepts, multilevel security requirements, and access control models. | Cybersecurity policies, regulations, compliance requirements, and acquisition lifecycle security considerations.","Ability to design secure architectures, frameworks, and system models aligned with organizational requirements. | Skill in evaluating system and network designs to identify architectural risks and weaknesses. | Ability to develop and implement security controls and secure design patterns. | Skill in translating operational and mission requirements into actionable security architecture components. | Skill in implementing network segmentation and layered defensive architectures. | Ability to integrate business goals, mission needs, and technical constraints into architectural decisions. | Strong collaboration skills for working with stakeholders across engineering, operations, and leadership teams.",security architecture | secure design | risk management | defense in depth | network segmentation | system security engineering | architecture analysis,"Bachelor’s degree in Cybersecurity, Computer Science, Information Technology, Software Engineering, or a related technical field.","3–6 years of experience in cybersecurity engineering, system design, or architecture-focused technical roles. | Hands-on experience developing or reviewing secure system architectures, cloud architectures, or enterprise security designs. | Experience with frameworks such as NIST CSF, NIST SP 800-160 (Systems Security Engineering), or Zero Trust Architecture models.",ISC2 CISSP (preferred) | ISACA CISM (for governance alignment) | Cisco CCNP Security or CCSP (for secure network architectures) | AWS Solutions Architect – Security Specialty (for cloud-focused architects) | SABSA Foundation (optional architecture-specific credential),3,6,0.40,0.30,0.20,0.05,0.05,60,cybersecurity_architecture
