application_id,candidate_id,role_id,job_title,status,ai_score,applied_at,matched_skills,missing_skills
1,1,1,Security Analyst,test_completed,86.3,2024-10-31T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
2,2,1,Security Analyst,test_completed,87.5,2024-11-11T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
3,3,1,Security Analyst,test_completed,90.8,2024-10-17T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
4,4,1,Security Analyst,test_completed,92,2024-10-31T00:00:00,"Log Analysis, Incident Response, Threat Detection","SIEM, Network Security"
5,5,1,Security Analyst,test_completed,87.6,2024-10-27T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
6,6,1,Security Analyst,test_completed,77.5,2024-10-20T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
7,7,1,Security Analyst,test_completed,75.7,2024-10-28T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
8,8,1,Security Analyst,test_completed,77.0,2024-10-24T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
9,9,1,Security Analyst,test_completed,83.0,2024-10-31T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
10,10,1,Security Analyst,test_completed,80.7,2024-11-01T00:00:00,"SIEM, Log Analysis, Incident Response, Threat Detection",Network Security
11,11,1,Security Analyst,test_completed,84.8,2024-10-14T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
12,12,1,Security Analyst,test_completed,80.8,2024-11-01T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
13,13,1,Security Analyst,test_completed,78.9,2024-11-06T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
14,14,1,Security Analyst,test_completed,81.8,2024-10-13T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
15,15,1,Security Analyst,test_completed,83.2,2024-11-04T00:00:00,"SIEM, Incident Response, Threat Detection","Log Analysis, Network Security"
16,16,1,Security Analyst,test_completed,83.7,2024-10-28T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
17,17,1,Security Analyst,test_completed,77.9,2024-10-14T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
18,18,1,Security Analyst,test_completed,83.2,2024-10-02T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
19,19,1,Security Analyst,test_completed,80.4,2024-10-25T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
20,20,1,Security Analyst,test_completed,81.5,2024-10-05T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
21,21,1,Security Analyst,test_completed,68.6,2024-10-07T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
22,22,1,Security Analyst,test_completed,69.6,2024-10-17T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
23,23,1,Security Analyst,test_completed,68.5,2024-11-13T00:00:00,"Incident Response, Threat Detection","SIEM, Log Analysis, Network Security"
24,24,1,Security Analyst,test_completed,64.2,2024-10-30T00:00:00,"SIEM, Incident Response","Log Analysis, Network Security, Threat Detection"
25,25,1,Security Analyst,test_completed,68.0,2024-10-02T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
26,26,1,Security Analyst,test_completed,69.8,2024-10-21T00:00:00,"SIEM, Log Analysis, Network Security, Threat Detection",Incident Response
27,27,1,Security Analyst,test_completed,64.5,2024-10-05T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
28,28,1,Security Analyst,test_completed,67.8,2024-10-19T00:00:00,"Log Analysis, Network Security","SIEM, Incident Response, Threat Detection"
29,29,1,Security Analyst,test_completed,73.5,2024-10-03T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
30,30,1,Security Analyst,test_completed,65.4,2024-11-09T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
31,31,1,Security Analyst,test_completed,67.7,2024-11-15T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
32,32,1,Security Analyst,test_completed,70.3,2024-11-14T00:00:00,"SIEM, Network Security, Incident Response","Log Analysis, Threat Detection"
33,33,1,Security Analyst,test_completed,70.4,2024-11-08T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
34,34,1,Security Analyst,test_completed,71.5,2024-10-12T00:00:00,"Log Analysis, Network Security, Incident Response","SIEM, Threat Detection"
